               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026413,            0.025966,                   0,             0.96182,             0.96864,             0.98816,             0.72544,            0.022128,            0.018828,                   0,             0.00166,             0.00166,             0.08506
                   1,            0.026599,            0.026582,                   0,              0.9614,             0.97148,             0.98868,             0.72547,            0.022014,            0.018783,                   0,           0.0033293,           0.0033293,            0.070029
                   2,            0.026585,            0.026243,                   0,             0.95517,             0.96302,             0.98487,             0.69983,            0.023659,            0.019955,                   0,           0.0049961,           0.0049961,            0.054996
                   3,            0.028405,            0.027617,                   0,             0.95623,             0.95893,             0.98528,             0.68765,            0.024551,            0.020222,                   0,           0.0066582,           0.0066582,            0.039958
                   4,            0.030328,            0.028656,                   0,             0.95328,             0.94896,             0.98065,             0.64273,            0.026738,            0.021359,                   0,           0.0083137,           0.0083137,            0.024914
                   5,            0.033346,             0.02915,                   0,             0.86922,             0.85653,             0.90886,             0.50428,            0.034525,            0.029471,                   0,           0.0099508,           0.0099508,           0.0099508
                   6,            0.034187,            0.031508,                   0,              0.8969,              0.8402,             0.91897,             0.49494,             0.03472,            0.028697,                   0,           0.0099508,           0.0099508,           0.0099508
                   7,            0.033648,            0.032596,                   0,             0.88747,             0.87866,             0.93259,             0.54224,            0.032671,            0.027477,                   0,           0.0099291,           0.0099291,           0.0099291
                   8,            0.033343,            0.031838,                   0,             0.91188,             0.91748,             0.95881,             0.59657,            0.029225,            0.024638,                   0,           0.0099037,           0.0099037,           0.0099037
                   9,            0.033363,            0.031529,                   0,             0.90809,             0.90796,              0.9561,             0.57369,               0.031,            0.025676,                   0,           0.0098743,           0.0098743,           0.0098743
                  10,            0.033053,            0.032143,                   0,             0.93075,             0.92004,             0.96514,             0.58797,            0.029565,            0.024265,                   0,           0.0098412,           0.0098412,           0.0098412
                  11,             0.03328,            0.031508,                   0,             0.91631,             0.89179,             0.94989,             0.56804,            0.030731,            0.025828,                   0,           0.0098042,           0.0098042,           0.0098042
                  12,            0.033257,            0.032375,                   0,              0.9224,             0.93407,             0.96657,              0.5984,            0.029736,            0.023733,                   0,           0.0097635,           0.0097635,           0.0097635
                  13,            0.033084,            0.031624,                   0,             0.87269,             0.87677,             0.92994,             0.52427,            0.033538,            0.027895,                   0,           0.0097191,           0.0097191,           0.0097191
                  14,            0.032746,            0.031608,                   0,             0.88742,             0.93283,             0.95743,             0.57627,            0.030803,            0.025768,                   0,            0.009671,            0.009671,            0.009671
                  15,            0.032412,             0.03179,                   0,             0.91252,             0.90866,             0.95513,             0.57972,             0.03002,            0.024961,                   0,           0.0096193,           0.0096193,           0.0096193
